iter	Passed	Remaining
356	10562	19023
357	10572	18960
358	10600	18927
359	10636	18909
360	10694	18929
361	10744	18936
362	10762	18887
363	10807	18883
364	10866	18905
365	10890	18865
366	10901	18803
367	10951	18807
368	10988	18789
369	10998	18727
370	11026	18694
371	11037	18633
372	11065	18600
373	11078	18543
374	11093	18488
375	11116	18448
376	11124	18383
377	11153	18352
378	11172	18306
379	11183	18246
380	11193	18185
381	11262	18220
382	11276	18166
383	11288	18107
384	11315	18075
385	11352	18058
386	11411	18075
387	11470	18092
388	11484	18039
389	11541	18052
390	11600	18067
391	11651	18071
392	11674	18031
393	11719	18025
394	11731	17968
395	11763	17942
396	11822	17957
397	11848	17920
398	11910	17939
399	11959	17938
400	11974	17886
401	12043	17915
402	12074	17886
403	12136	17904
404	12194	17915
405	12256	17932
406	12317	17946
407	12326	17886
408	12386	17898
409	12411	17860
410	12468	17868
411	12527	17879
412	12545	17831
413	12562	17781
414	12622	17793
415	12643	17749
416	12671	17715
417	12709	17695
418	12747	17675
419	12767	17631
420	12827	17641
421	12894	17660
422	12946	17660
423	13004	17666
424	13041	17644
425	13099	17650
426	13137	17629
427	13156	17583
428	13170	17529
429	13229	17536
430	13280	17532
431	13338	17537
432	13397	17543
433	13436	17523
434	13453	17473
435	13510	17476
436	13566	17478
437	13627	17485
438	13639	17429
439	13653	17376
440	13688	17351
441	13745	17353
442	13804	17356
443	13863	17359
444	13919	17359
445	13937	17312
446	13997	17316
447	14059	17323
448	14120	17327
449	14178	17329
450	14237	17331
451	14310	17349
452	14373	17355
453	14384	17299
454	14443	17300
455	14455	17245
456	14475	17199
457	14533	17198
458	14541	17139
459	14558	17090
460	14615	17088
461	14632	17039
462	14657	16999
463	14693	16973
464	14751	16972
465	14780	16937
466	14847	16945
467	14907	16946
468	14964	16942
469	14993	16907
470	15050	16904
471	15060	16846
472	15117	16843
473	15176	16841
474	15215	16817
475	15244	16781
476	15295	16770
477	15355	16768
478	15406	16757
479	15429	16715
480	15488	16712
481	15516	16675
482	15574	16671
483	15631	16665
484	15692	16663
485	15709	16614
486	15731	16571
487	15742	16517
488	15763	16472
489	15812	16458
490	15824	16404
491	15860	16376
492	15889	16341
493	15906	16292
494	15935	16257
495	15949	16207
496	16006	16200
497	16064	16193
498	16121	16185
499	16181	16181
500	16201	16137
501	16270	16140
502	16332	16138
503	16392	16132
504	16449	16123
505	16465	16074
506	16491	16036
507	16547	16026
508	16605	16018
509	16618	15967
510	16676	15958
511	16735	15951
512	16794	15943
513	16822	15906
514	16879	15896
515	16949	15898
516	17017	15898
517	17033	15849
518	17056	15807
519	17072	15759
520	17094	15716
521	17155	15709
522	17174	15664
523	17231	15653
524	17281	15635
525	17339	15625
526	17356	15577
527	17416	15569
528	17474	15558
529	17532	15547
530	17555	15505
531	17613	15494
532	17662	15475
533	17720	15464
534	17737	15416
535	17794	15404
536	17817	15362
537	17833	15314
538	17892	15302
539	17915	15261
540	17976	15251
541	18038	15243
542	18098	15232
543	18126	15194
544	18184	15181
545	18208	15140
546	18266	15127
547	18289	15085
548	18347	15072
549	18384	15041
550	18435	15022
551	18511	15023
552	18570	15010
553	18606	14979
554	18664	14965
555	18675	14913
556	18712	14882
557	18739	14844
558	18789	14823
559	18847	14809
560	18905	14794
561	18963	14779
562	19014	14759
563	19077	14748
564	19101	14706
565	19131	14669
566	19167	14637
567	19203	14605
568	19215	14555
569	19251	14523
570	19271	14478
571	19307	14447
572	19366	14431
573	19424	14416
574	19483	14400
575	19494	14349
576	19531	14318
577	19588	14301
578	19646	14285
579	19704	14268
580	19728	14227
581	19747	14182
582	19767	14138
583	19826	14123
584	19885	14106
585	19921	14074
586	19938	14028
587	19996	14011
588	20048	13989
589	20070	13947
590	20135	13934
591	20194	13917
592	20208	13869
593	20266	13852
594	20295	13814
595	20353	13796
596	20375	13754
597	20433	13736
598	20490	13717
599	20507	13671
600	20565	13653
601	20630	13639
602	20697	13627
603	20756	13608
604	20805	13583
605	20823	13538
606	20836	13490
607	20872	13457
608	20908	13424
609	20932	13383
610	20969	13350
611	20996	13311
612	21011	13264
613	21078	13251
614	21134	13230
615	21191	13210
616	21228	13177
617	21241	13129
618	21264	13088
619	21284	13045
620	21320	13012
621	21380	12993
622	21438	12973
623	21455	12928
624	21512	12907
625	21571	12887
626	21630	12867
627	21688	12847
628	21739	12822
629	21758	12778
630	21815	12757
631	21873	12736
632	21930	12714
633	21995	12697
634	22052	12675
635	22070	12631
636	22129	12610
637	22193	12592
638	22244	12567
639	22302	12545
640	22360	12523
641	22417	12500
642	22475	12478
643	22492	12433
644	22549	12410
645	22572	12369
646	22630	12347
647	22686	12323
648	22740	12298
649	22776	12264
650	22835	12241
651	22902	12223
652	22940	12190
653	22957	12145
654	22979	12103
655	23037	12080
656	23074	12046
657	23143	12028
658	23207	12008
659	23264	11984
660	23292	11945
661	23329	11911
662	23378	11883
663	23428	11855
664	23451	11813
665	23509	11789
666	23531	11748
667	23548	11703
668	23606	11679
669	23664	11655
670	23683	11612
671	23744	11589
672	23802	11565
673	23859	11540
674	23917	11515
675	23940	11474
676	23957	11430
677	24015	11405
678	24035	11363
679	24092	11337
680	24155	11315
681	24193	11280
682	24251	11255
683	24308	11230
684	24344	11194
685	24401	11169
686	24437	11133
687	24493	11107
688	24551	11082
689	24574	11040
690	24631	11014
691	24682	10985
692	24739	10959
693	24796	10933
694	24805	10885
695	24841	10850
696	24877	10814
697	24937	10789
698	24960	10748
699	25010	10718
700	25067	10692
701	25089	10650
702	25111	10609
703	25176	10585
704	25236	10559
705	25285	10529
706	25302	10486
707	25331	10447
708	25388	10420
709	25438	10390
710	25496	10363
711	25553	10336
712	25610	10308
713	25667	10281
714	25725	10254
715	25782	10226
716	25840	10199
717	25863	10158
718	25877	10113
719	25894	10070
720	25917	10029
721	25974	10001
722	26032	9973
723	26089	9945
724	26127	9910
725	26187	9883
726	26249	9857
727	26307	9829
728	26327	9787
729	26363	9751
730	26428	9725
731	26485	9696
732	26543	9668
733	26600	9639
734	26657	9611
735	26715	9582
736	26771	9553
737	26829	9524
738	26887	9496
739	26945	9467
740	26961	9423
741	27011	9392
742	27068	9363
743	27088	9320
744	27112	9280
745	27170	9251
746	27236	9224
747	27294	9195
748	27358	9168
749	27419	9139
750	27491	9114
751	27531	9079
752	27627	9062
753	27718	9043
754	27798	9020
755	27878	8997
756	27953	8973
757	27990	8936
758	28071	8913
759	28141	8886
760	28196	8855
761	28267	8828
762	28331	8800
763	28396	8771
764	28455	8741
765	28513	8710
766	28533	8667
767	28598	8639
768	28661	8609
769	28720	8578
770	28780	8548
771	28832	8515
772	28855	8473
773	28916	8443
774	28974	8411
775	29033	8380
776	29094	8350
777	29124	8310
778	29182	8278
779	29254	8251
780	29292	8213
781	29309	8170
782	29366	8138
783	29429	8108
784	29465	8070
785	29524	8038
786	29582	8006
787	29639	7974
788	29667	7933
789	29725	7901
790	29785	7870
791	29825	7833
792	29884	7800
793	29942	7768
794	30003	7736
795	30025	7695
796	30062	7656
797	30123	7625
798	30189	7594
799	30213	7553
800	30267	7519
801	30339	7490
802	30401	7458
803	30461	7425
804	30484	7384
805	30542	7351
806	30581	7313
807	30611	7273
808	30661	7239
809	30721	7206
810	30745	7165
811	30782	7126
812	30811	7087
813	30868	7053
814	30929	7020
815	30988	6987
816	31046	6954
817	31104	6920
818	31133	6880
819	31191	6847
820	31251	6813
821	31284	6774
822	31347	6741
823	31405	6708
824	31462	6673
825	31485	6632
826	31510	6591
827	31568	6557
828	31629	6524
829	31691	6490
830	31749	6456
831	31800	6421
832	31859	6387
833	31879	6345
834	31918	6307
835	31955	6268
836	32013	6234
837	32074	6200
838	32133	6166
839	32191	6131
840	32227	6092
841	32246	6050
842	32313	6018
843	32375	5984
844	32413	5945
845	32442	5905
846	32462	5863
847	32521	5829
848	32545	5788
849	32603	5753
850	32660	5718
851	32729	5685
852	32794	5651
853	32852	5616
854	32916	5582
855	32976	5547
856	33000	5506
857	33050	5469
858	33108	5434
859	33165	5399
860	33203	5360
861	33261	5324
862	33326	5290
863	33384	5254
864	33413	5214
865	33474	5179
866	33529	5143
867	33590	5108
868	33658	5073
869	33687	5033
870	33744	4997
871	33768	4956
872	33804	4917
873	33867	4882
874	33926	4846
875	33983	4810
876	34043	4774
877	34104	4738
878	34162	4702
879	34221	4666
880	34283	4630
881	34349	4595
882	34408	4559
883	34470	4523
884	34527	4486
885	34596	4451
886	34635	4412
887	34664	4372
888	34700	4332
889	34728	4292
890	34785	4255
891	34844	4218
892	34865	4177
893	34926	4141
894	34984	4104
895	35012	4063
896	35070	4027
897	35127	3990
898	35188	3953
899	35239	3915
900	35269	3875
901	35344	3840
902	35405	3803
903	35467	3766
904	35525	3729
905	35555	3688
906	35571	3647
907	35603	3607
908	35627	3566
909	35686	3529
910	35742	3491
911	35773	3451
912	35831	3414
913	35883	3376
914	35920	3336
915	35980	3299
916	36003	3258
917	36020	3217
918	36049	3177
919	36077	3137
920	36135	3099
921	36187	3061
922	36247	3023
923	36284	2984
924	36312	2944
925	36334	2903
926	36383	2865
927	36441	2827
928	36498	2789
929	36557	2751
930	36585	2711
931	36643	2673
932	36702	2635
933	36764	2597
934	36823	2559
935	36875	2521
936	36903	2481
937	36963	2443
938	37021	2405
939	37059	2365
940	37118	2327
941	37170	2288
942	37221	2249
943	37244	2209
944	37280	2169
945	37345	2131
946	37416	2094
947	37486	2056
948	37556	2018
949	37628	1980
950	37698	1942
951	37774	1904
952	37822	1865
953	37891	1827
954	37962	1788
955	38036	1750
956	38107	1712
957	38178	1673
958	38218	1633
959	38288	1595
960	38329	1555
961	38356	1515
962	38425	1476
963	38499	1437
964	38569	1398
965	38646	1360
966	38716	1321
967	38735	1280
968	38797	1241
969	38865	1202
970	38924	1162
971	38985	1123
972	39042	1083
973	39079	1043
974	39114	1002
975	39164	963
976	39225	923
977	39284	883
978	39341	843
979	39396	804
980	39456	764
981	39514	724
982	39570	684
983	39631	644
984	39683	604
985	39740	564
986	39801	524
987	39860	484
988	39919	443
989	39977	403
990	40038	363
991	40061	323
992	40119	282
993	40175	242
994	40226	202
995	40249	161
996	40306	121
997	40369	80
998	40396	40
999	40456	0
